variant,seed,macro_auc,macro_f1_optimal,macro_f1_fixed,auc_ecg_only,auc_fused_only,auc_meta_disabled,delta_meta_auc,w_fused,auc_NORM,f1_NORM,threshold_NORM,auc_MI,f1_MI,threshold_MI,auc_STTC,f1_STTC,threshold_STTC,auc_CD,f1_CD,threshold_CD,auc_HYP,f1_HYP,threshold_HYP
none,2040,0.9250939961965015,0.7449960680005469,0.7325338968736087,0.9251853670091977,0.9250939961965015,0.9250939961965015,0.0,1.0,0.9455555975969158,0.852956038403234,0.5899999737739563,0.9210436893203885,0.7234432234432234,0.7400000095367432,0.9353131505968179,0.7690972222222222,0.6050000190734863,0.9142576570258899,0.7521008403361344,0.7099999785423279,0.9092998864424957,0.6273830155979203,0.6499999761581421
none,2041,0.9270054712705431,0.7380223948079715,0.7351504478134313,0.9271800617906305,0.9270054712705431,0.9270054712705431,0.0,1.0,0.9471960514754415,0.8481189038550859,0.45500001311302185,0.923918799646955,0.7358156028368794,0.6349999904632568,0.9335482770736978,0.7573739295908658,0.7250000238418579,0.9195147549372655,0.7508305647840532,0.7699999809265137,0.9108494732193553,0.597972972972973,0.5299999713897705
none,2042,0.9271336182730527,0.7472834346303796,0.7361476516377247,0.9274174199645449,0.9271336182730527,0.9271336182730527,0.0,1.0,0.9491165008135003,0.8596070915189267,0.6200000047683716,0.9226787290379523,0.726790450928382,0.574999988079071,0.9340427163486575,0.7685433422698839,0.5899999737739563,0.9160214737879534,0.7617107942973523,0.6800000071525574,0.9138086713772002,0.6197654941373534,0.574999988079071
none,2043,0.927602209549452,0.7434526254817281,0.7360124837138355,0.9276627105177446,0.927602209549452,0.927602209549452,0.0,1.0,0.9489121798024898,0.8592162554426706,0.6050000190734863,0.9238901147396293,0.7309833024118738,0.6499999761581421,0.938705553400014,0.7741330834114339,0.7400000095367432,0.9177888442439635,0.7464788732394366,0.6050000190734863,0.9087143555611634,0.6064516129032258,0.5600000023841858
demo,2024,0.927357926821232,0.7423048216688561,0.733523298872619,0.9270688054184294,0.927357926821232,0.9271949036442338,0.00016302317699812274,1.0,0.9486010737363418,0.8635437881873728,0.7400000095367432,0.9264419682259487,0.7379134860050891,0.5149999856948853,0.9359060199126261,0.7700631199278629,0.6499999761581421,0.9159669838141087,0.7412982126058325,0.5600000023841858,0.9098735884171346,0.598705501618123,0.5899999737739563
demo,2025,0.9293103529741005,0.7517161893010412,0.7348085770210598,0.929166179549213,0.9293103529741005,0.9295097627010206,-0.00019940972692011893,1.0,0.9484976519900278,0.8616004026170105,0.7699999809265137,0.9302305825242719,0.7319932998324958,0.39500001072883606,0.9362516695909545,0.7767527675276753,0.6800000071525574,0.9194448656229861,0.7547169811320755,0.7549999952316284,0.9121269951422624,0.6335174953959485,0.6800000071525574
demo,2026,0.9278572662001675,0.7466063549867064,0.7362647428043689,0.9278857890394031,0.9278572662001675,0.9279339247179937,-7.665851782623356e-05,1.0,0.9485489424495819,0.8657751362060426,0.6949999928474426,0.9280152250661959,0.7446626814688301,0.48500001430511475,0.9359300551551588,0.7707404103479036,0.6050000190734863,0.9168731757704408,0.7431578947368421,0.7549999952316284,0.90991893255946,0.6086956521739131,0.6949999928474426
demo,2027,0.927168753503623,0.7471538866245384,0.7365066043042523,0.9273353084748344,0.927168753503623,0.927667120578116,-0.0004983670744929114,1.0,0.9478174227805314,0.8611388611388612,0.7099999785423279,0.9264210061782877,0.7491467576791809,0.5450000166893005,0.9342567444607349,0.7697974217311234,0.6499999761581421,0.9178042435843978,0.7361835245046924,0.7250000238418579,0.9095443505141633,0.6195028680688337,0.7549999952316284
demo,2028,0.9275995068148829,0.7458410302876268,0.7270414412254695,0.9271092421067915,0.9275995068148829,0.9274365390560879,0.00016296775879498515,1.0,0.9492401024127536,0.8571428571428571,0.5450000166893005,0.924848852603707,0.7309644670050761,0.5299999713897705,0.9343082485518767,0.7723132969034608,0.6499999761581421,0.9185753951707669,0.75,0.6650000214576721,0.91102493533531,0.6187845303867403,0.7699999809265137
demo,2029,0.9280750875025191,0.7472829539296623,0.7363830085161289,0.9271292883102051,0.9280750875025191,0.9276282578596687,0.00044682964285036597,1.0,0.9499724629090098,0.8647342995169082,0.5450000166893005,0.9269229920564872,0.7338782924613987,0.6499999761581421,0.9366030419460764,0.7750229568411386,0.7250000238418579,0.9174725654827337,0.7471143756558237,0.7099999785423279,0.9094043751182891,0.6156648451730419,0.6499999761581421
